date,category,description,amount
2026-03-01,Food,Groceries,53.10
2026-03-02,Transport,Bus ticket,2.50
2026-03-03,Shopping,Spring jacket,64.90
2026-03-04,Health,Medicine,18.25
2026-03-05,Rent,Monthly rent,750.00
2026-03-06,Other,Printer paper,6.80
2026-03-07,Food,Cafe breakfast,16.40
2026-03-08,Transport,Taxi ride,21.75
2026-03-09,Shopping,Notebook set,9.95
2026-03-10,Health,Vitamins,23.60
2026-03-11,Food,Lunch,14.85
2026-03-12,Other,Movie rental,5.99
2026-03-13,Transport,Train ticket,28.20
2026-03-14,Shopping,Headphones,45.50
2026-03-15,Food,Restaurant dinner,46.30
2026-03-16,Health,Clinic visit,72.00
2026-03-17,Other,Streaming service,12.99
2026-03-18,Food,Bakery,9.25
2026-03-19,Transport,Fuel,50.65
2026-03-20,Shopping,Backpack,38.70
2026-03-21,Food,Snacks,6.45
2026-03-22,Other,Gift card,25.00
