date,category,description,amount
2026-02-01,Food,Groceries,44.70
2026-02-02,Transport,Metro card,20.00
2026-02-03,Shopping,T-shirt,19.99
2026-02-04,Health,Pharmacy,12.85
2026-02-05,Rent,Monthly rent,750.00
2026-02-06,Other,Phone case,9.50
2026-02-07,Food,Takeaway,23.40
2026-02-08,Transport,Taxi ride,14.30
2026-02-09,Shopping,Kitchen towels,8.75
2026-02-10,Health,Eye drops,10.20
2026-02-11,Food,Lunch,15.10
2026-02-12,Other,Online course,31.00
2026-02-13,Transport,Parking,6.25
2026-02-14,Shopping,Valentine gift,36.60
2026-02-15,Food,Dinner,39.80
2026-02-16,Health,Dentist,68.00
2026-02-17,Other,Subscription,11.99
2026-02-18,Food,Bakery,7.15
2026-02-19,Transport,Fuel,47.90
2026-02-20,Shopping,Shoes,59.40
2026-02-21,Food,Vegetables,12.35
2026-02-22,Other,Donation,18.00
